"GPUName","GPUPrice","GPUScore"
"Radeon Ryzen 7 4700G",NA,2613
"Radeon Ryzen 7 4700GE",NA,2610
"Snapdragon X Elite - X1E80100 - Qualcomm Adreno GP",NA,2607
"Radeon RX Vega 11 Ryzen 7 3700U",NA,2602
"Ryzen 5 5600GE with Radeon Graphics",NA,2601
"GRID T4-2B",NA,2601
"Radeon Eng Sample: 100-000000371-40_42/18_Y",NA,2590
"GeForce GTX 950M",567,2586
"Radeon Ryzen 7 PRO 4750G",NA,2584
"Ryzen 5 5600G with Radeon Graphics",NA,2582
"Radeon Ryzen 5 5600GE",NA,2572
"Snapdragon X Elite - X1E78100 - Qualcomm Adreno GP",NA,2571
"Snapdragon X Plus - X1P64100 - Qualcomm Adreno GPU",NA,2569
"GeForce GTX 950A",NA,2554
"Ryzen 7 PRO 4750GE with Radeon Graphics",NA,2549
"Ryzen 7 PRO 7730U with Radeon Graphics",NA,2549
"GRID K240Q",NA,2541
"Radeon Pro WX 3100",NA,2540
"Radeon HD 6850 X2",NA,2534
"Ryzen 9 5980HS with Radeon Graphics",NA,2533
"Radeon Ryzen 9 7900X 12-Core",NA,2532
"FireStream 9370",NA,2528
"Ryzen 7 PRO 5750GE with Radeon Graphics",NA,2528
"N18E-Q1",NA,2525
"GeForce GTX 650 Ti",93.05,2524
"Ryzen 5 5500GT with Radeon Graphics",NA,2517
"GeForce GTX 850M",NA,2516
"Radeon Ryzen 7 5800HS",NA,2507
"Ryzen 5 PRO 5650G with Radeon Graphics",NA,2500
"Ryzen 7 4700GE with Radeon Graphics",NA,2496
"Radeon Pro",3599,2475
"Ryzen 7 7730U with Radeon Graphics",NA,2470
"Barco MXRT 5600",704,2465
"Radeon Eng Sample: 100-000000146-40_42/35_Y",NA,2464
"Radeon Ryzen 7 7730U",NA,2461
"GeForce GT 1030",105.09,2458
"Ryzen 7 PRO 5750G with Radeon Graphics",NA,2440
"FirePro 3D V8800",424.99,2437
"Radeon Pro WX 3200",158.35,2437
"Ryzen 5 PRO 5650GE with Radeon Graphics",NA,2435
"GeForce MX330",NA,2434
"Radeon Ryzen 5 PRO 5655GE",NA,2428
"Radeon Eng Sample: 100-000000262-30_Y",NA,2415
"GeForce MX250",NA,2411
"Radeon Ryzen 7 5800U",NA,2410
"Radeon RX Vega 11 PRD",NA,2401
"Ryzen 5 Pro 4650G with Radeon Graphics",NA,2398
"Radeon Ryzen 5 5600H",NA,2394
"Radeon Ryzen 7 5825U",NA,2382
"Radeon Ryzen 5 PRO 5650GE",NA,2376
"Radeon Ryzen 5 PRO 4655G",NA,2375
"Ryzen 5 4600G with Radeon Graphics",NA,2371
"Radeon Ryzen 7 PRO 4750GE",NA,2367
"Citrix Indirect Display Adapter",NA,2365
"GRID M10-2B",NA,2363
"Ryzen 7 5800U with Radeon Graphics",NA,2361
"Radeon Ryzen 5 PRO 4655GE",NA,2361
"GeForce GTX 485M",NA,2359
"FirePro W6150M",NA,2358
"Radeon Vega 11 Ryzen 5 PRO 3350G",NA,2349
"Ryzen 7 4800U with Radeon Graphics",NA,2343
"P106-090",NA,2342
"Ryzen 7 5825U with Radeon Graphics",NA,2342
"Ryzen 5 5600H with Radeon Graphics",NA,2336
"Radeon RX Vega Ryzen 3 5300U",NA,2334
"Radeon R9 M470",NA,2330
"Ryzen 3 PRO 5350G with Radeon Graphics",NA,2323
"Radeon Ryzen 7 4800U",NA,2316
"Radeon Ryzen 7 PRO 7730U",NA,2313
"Radeon RX Vega - Renoir Ryzen 3 5300U",NA,2312
"GRID M10-1B",NA,2309
"Radeon Ryzen 7 5700U",NA,2307
"Ryzen 5 PRO 4400G with Radeon Graphics",NA,2305
"FirePro V7900",190,2304
"Radeon Ryzen 5 PRO 5650G",NA,2298
"Radeon Ryzen 5 4400G",NA,2296
"Radeon RX 550X",NA,2287
"Radeon Ryzen 7 Microsoft Surface Edition",NA,2285
"Radeon HD 5970",721.2,2282
"FirePro V8800",198,2280
"Radeon RX Vega Ryzen 5 5500U",NA,2279
"GeForce MX150",59.29,2272
"Ryzen 3 4300GE with Radeon Graphics",NA,2271
"Ryzen 7 PRO 5850U with Radeon Graphics",NA,2270
"Radeon Ryzen 7 5800HS Creator Edition",NA,2270
"Radeon HD 6970M",215.99,2270
"Ryzen 5 7530U with Radeon Graphics",NA,2269
"Radeon R7 250X",194,2268
"Radeon Eng Sample: 100-000000285-40_Y",NA,2267
"Quadro K3100M",399.95,2264
"GeForce GTX 460",89.99,2264
"Intel HD 5600",NA,2263
"Ryzen 7 5700U with Radeon Graphics",NA,2246
"Radeon Ryzen Embedded V2546",NA,2236
"Quadro K620",2029.99,2231
"Intel Iris Pro P580",NA,2231
"Radeon Ryzen 9 7900 12-Core",NA,2228
"Ryzen 7 Extreme Edition",NA,2226
"GRID P100-1B",NA,2223
"Radeon Ryzen 5 7530U",NA,2222
"Radeon HD 5870",416.89,2220
"Radeon HD 6870",239.99,2216
"Ryzen 5 4600H with Radeon Graphics",NA,2191
"Ryzen 7 4700G with Radeon Graphics",NA,2186
"Radeon Ryzen 5 7430U",NA,2181
"Radeon RX Vega 11 Ryzen 5 3400G",NA,2180
"Ryzen 5 5600U with Radeon Graphics",NA,2178
"Radeon HD 7770",300,2172
"Radeon Pro WX 4130",NA,2168
"FirePro M6100",NA,2152
"GRID P4-1B",NA,2151
"Quadro M600M",251.99,2150
"Radeon Ryzen 5 5625U",NA,2142
"GeForce GTX 745",284.95,2138
"Radeon Ryzen 7 4850U Mobile",NA,2137
"Radeon Ryzen 7 7700X 8-Core",NA,2137
"Radeon Ryzen 3 7335U",NA,2125
"Ryzen 3 Pro 4350G with Radeon Graphics",NA,2124
"Intel UHD Graphics P630",NA,2119
"Radeon RX Vega 11",1002,2115
"Ryzen 5 PRO 4650GE with Radeon Graphics",NA,2113
"Ryzen 7 4800H with Radeon Graphics",NA,2113
"Radeon Ryzen 5 5600U",NA,2110
"GeForce 945M",NA,2108
"FirePro M5100",NA,2102
"Quadro P520",1499,2097
"Intel G35 Express",NA,2097
"Radeon Ryzen 5 5500U",NA,2085
"Radeon Ryzen 5 Microsoft Surface Edition",NA,2080
"Radeon Ryzen 5 PRO 4500U",NA,2078
"GeForce GTX 580M",248.68,2074
"Ryzen 5 5560U with Radeon Graphics",NA,2073
"GRID M6-1Q",NA,2069
"Radeon RX Vega 11 Ryzen 5 3400GE",NA,2068
"Ryzen 7 PRO 5875U with Radeon Graphics",NA,2067
"Radeon R9 M385",NA,2060
"Radeon TM R9 A360",NA,2060
"Quadro 5000M",NA,2059
"Ryzen 3 4300G with Radeon Graphics",NA,2059
"Radeon Ryzen 7 PRO 4750U",NA,2052
"Ryzen 5 PRO 5650U with Radeon Graphics",NA,2046
"Radeon Ryzen 7 4700U",NA,2043
"Radeon Ryzen 5 5560U",NA,2043
"Radeon Ryzen 3 PRO 7335U",NA,2034
"Ryzen 7 4700U with Radeon Graphics",NA,2034
"Ryzen 7 PRO 4750U with Radeon Graphics",NA,2029
"FirePro V7800",190,2028
"Radeon 550",89.99,2027
"Radeon Pro W5500M",NA,2010
"Ryzen 5 PRO 4500U with Radeon Graphics",NA,2007
"Ryzen 5 5600GT with Radeon Graphics",NA,2006
"GeForce GT 645",NA,2005
"Radeon Ryzen 5 7600X3D 6-Core",NA,2005
"Radeon R9 350",299,2002
"Radeon Ryzen Embedded V2718",NA,1998
"GeForce GTX 765M",186.3,1995
"Radeon R9 M385X",NA,1993
"Ryzen 5 5500U with Radeon Graphics",NA,1991
"Ryzen 5 5625U with Radeon Graphics",NA,1989
"Radeon Ryzen 7 PRO 5875U",NA,1989
"Intel Iris Pro 580",NA,1987
"GeForce GTX 460 SE",159.99,1984
"Ryzen 3 PRO 7330U with Radeon Graphics",NA,1984
"Radeon RX 640",NA,1983
"Radeon R7 + R7 350 Dual",NA,1982
"Intel Iris Xe MAX",NA,1971
"Radeon Vega 11 Ryzen 5 PRO 3400G",NA,1971
"Radeon HD 5850",288.99,1969
"Radeon HD 6850",205.28,1965
"Eng Sample: 100-000000371-40_42/18_Y",NA,1964
"Radeon R7 + HD 7700 Dual",NA,1962
"Radeon HD 7660D + HD 7700 Dual",NA,1958
"Qualcomm Adreno 8cx Gen 3",NA,1953
"GeForce GTX 470M",NA,1953
"GeForce GTX 670MX",NA,1951
"Ryzen 3 5300G with Radeon Graphics",NA,1945
"Radeon Ryzen 5 PRO 5675U",NA,1938
"Quadro 5000",2168.61,1933
"Ryzen 5 PRO 7530U with Radeon Graphics",NA,1933
"GeForce GTX 675M",NA,1927
"Intel Iris Xe MAX 100",NA,1927
"Radeon Vega 8 Ryzen 3 3200G",NA,1925
"Radeon R7 450",299,1923
"Radeon RX 570X",153.01,1923
"Radeon HD 7560D + 7700 Dual",NA,1919
"Ryzen 3 5300GE with Radeon Graphics",NA,1917
"GeForce GTX 560 SE",89.99,1914
"Radeon Vega 11 Ryzen 5 PRO 3400GE w/",NA,1907
"Matrox C680 PCIe x16",NA,1903
"Quadro K4000M",254,1902
"Ryzen 5 4600U with Radeon Graphics",NA,1901
"Radeon HD 7700-serie",NA,1899
"Radeon Ryzen 5 4600GE with Radeon Graphics",NA,1896
"Radeon RX 540",NA,1896
"Ryzen 3 PRO 4350GE with Radeon Graphics",NA,1895
"RadeonT Vega 8",NA,1894
"Radeon HD 8670D + HD 7700 Dual",NA,1892
"Intel UHD Graphics 770",NA,1887
"GeForce GTX 645",NA,1882
"Quadro M520",NA,1872
"GeForce GTX 460 v2",199.99,1871
"FirePro 3D V7800",599.99,1867
"Radeon Ryzen Embedded R2544",NA,1864
"GeForce GTX 570M",NA,1863
"Qualcomm Adreno 8cx Gen 3 GPU",NA,1863
"Radeon Eng Sample: 100-000000287-40_Y",NA,1861
"Radeon RX Vega 11 Processor",NA,1861
"Radeon RX Vega 11 Ryzen 7 3750H",NA,1856
"Radeon RX Vega 11 Ryzen 5 3350G",NA,1854
"Radeon Ryzen 3 PRO 7330U",NA,1854
"GeForce 945A",NA,1852
"Radeon Ryzen Embedded V2748",NA,1842
"Radeon RX Vega 10 Ryzen 7 3750H",NA,1840
"Radeon Vega 11",NA,1840
"FirePro M5100 FireGL V",NA,1839
"GRID M60-0B",NA,1838
"Radeon Vega 8 Ryzen 3 PRO 3200G",NA,1836
"GeForce MX130",NA,1835
"Radeon Pro WX 2100",NA,1835
"Radeon HD 8570D + HD 7700 Dual",NA,1834
"GeForce MX230",NA,1834
"Radeon Ryzen 5 7600 6-Core",NA,1833
"FirePro M6000",325.99,1820
"Ryzen 5 4500U with Radeon Graphics",NA,1818
"Radeon R9 M360",NA,1813
"Intel Iris Plus",NA,1813
"Matrox C900 PCIe x16",NA,1812
"Radeon R9 M375X",NA,1807
"Radeon HD 8870M / R9 M270X / M370X",NA,1799
"Ryzen 3 PRO 4200G with Radeon Graphics",NA,1798
"Lebo Virtual USB Monitor",NA,1789
"Radeon HD 8670D + 7700 Dual",NA,1788
"Embedded Radeon E9173",NA,1787
"Ryzen 3 PRO 5350GE with Radeon Graphics",NA,1785
"Radeon R7 M465X",NA,1780
"Radeon RX Vega 10 Ryzen 5 3500U",NA,1778
"Firepro W5170M",NA,1777
"Radeon Ryzen 3 PRO 5450U",NA,1777
"Quadro 5010M",235.95,1771
"PCI\VEN_1002&DEV_164E&SUBSYS_D0001458&REV_C6 Ryzen",NA,1768
"Intel UHD 770#0x1c005d839205d7e9#",NA,1758
"GRID M10-8Q",NA,1755
"Ryzen 5 PRO 4650U with Radeon Graphics",NA,1752
"GeForce GTX 650",143.8,1750
"Ryzen 3 PRO 4200GE with Radeon Graphics",NA,1748
"GeForce GTX 670M",NA,1745
"Radeon Ryzen 7 7800X3D 8-Core",NA,1739
"Intel Iris Plus 655",NA,1733
"Radeon HD 5830",258.99,1732
"Radeon Ryzen 5 7600X 6-Core",NA,1728
"Intel UHD Graphics 750",NA,1726
"Radeon Ryzen 9 PRO 7945 12-Core",NA,1725
"Radeon Vega 8 Ryzen 3 3200GE",NA,1721
"GeForce GTX 760M",NA,1720
"Ryzen 5 PRO 5675U with Radeon Graphics",NA,1719
"Intel Iris Plus 645",NA,1715
"FirePro M6000 Mobility Pro",NA,1712
"Radeon HD 6900M",NA,1702
"Radeon HD 7750",118.79,1700
"Radeon Ryzen 9 7900X3D 12-Core",NA,1697
"GeForce GT 755M",NA,1688
"Radeon Ryzen 7 7700 8-Core",NA,1687
"Radeon E8860",NA,1686
"Radeon Eng Sample: 100-000000263-30_Y",NA,1683
"PCI\VEN_1002&DEV_164E&SUBSYS_D0001458&REV_C2 Ryzen",NA,1680
"Radeon Vega 8 Ryzen 5 3550H",NA,1680
"Radeon RX Vega11 Ryzen 7 3750H",NA,1674
"FirePro W600",414.99,1671
"Intel UHD Graphics P750",NA,1670
"Radeon R7 M380",NA,1668
"Ryzen 3 5425U with Radeon Graphics",NA,1667
"Radeon EPYC 4584PX 16-Core",NA,1661
"Radeon Ryzen 3 7330U",NA,1655
"PCI\VEN_1002&DEV_164E&SUBSYS_D0001458&REV_C3 Ryzen",NA,1653
"Radeon Vega 10 Ryzen 7 PRO 3700U w/",NA,1653
"Radeon HD HD7850M",NA,1651
"Ryzen 3 7330U with Radeon Graphics",NA,1649
"Virtual Display Device",NA,1649
"Quadro P400",201.17,1643
"PCI\VEN_1002&DEV_164E&SUBSYS_D0001458&REV_C7 Ryzen",NA,1642
"Quadro K3000M",407.56,1639
"Radeon Ryzen 9 7950X3D 16-Core",NA,1638
"Radeon HD 8870M",NA,1638
"Radeon RX Vega 10",NA,1635
"Radeon EPYC 4344P 8-Core",NA,1634
"Quadro P500",NA,1630
"FirePro M4000 Mobility Pro",NA,1628
"Intel Iris Pro P6300",NA,1625
"RadeonT RX Vega 11",NA,1621
"Radeon EPYC 4484PX 12-Core",NA,1619
"Radeon HD 6790",294,1618
"Radeon EPYC 4564P 16-Core",NA,1618
"Ryzen 7 2700U with Radeon Vega",NA,1617
"GeForce GTX 480M",NA,1617
"Radeon R9 M275X",NA,1615
"Radeon EPYC 4124P 4-Core",NA,1614
"Radeon EPYC 4464P 12-Core",NA,1613
"Radeon EPYC 4364P 8-Core",NA,1610
"Radeon RX Vega11",NA,1605
"Seria Radeon HD 7700",NA,1603
"Ryzen 3 PRO 5450U with Radeon Graphics",NA,1601
"FirePro M4000",72.83,1593
"Radeon Ryzen 3 5300U",NA,1592
"Radeon Vega 9",NA,1590
"Quadro K2000D",339.99,1586
"Ryzen 3 5400U with Radeon Graphics",NA,1583
"Radeon Vega 8",126.86,1583
"Intel UHD Graphics 730",NA,1582
"Radeon Ryzen 7 PRO 7745 8-Core",NA,1581
"Quadro K2000",294,1580
"Intel Iris Plus 650",NA,1575
"Radeon R9 M275X / M375",NA,1574
"Radeon Athlon Gold PRO 4150GE",NA,1573
"GeForce GTX 555",NA,1571
"Radeon 610M Ryzen 9 7945HX",NA,1564
"Radeon Vega 9 Ryzen 5 3550H",NA,1561
"Radeon Vega 10",NA,1560
"Radeon HD 7560D + HD 6670 Dual",NA,1554
"Radeon R9 M370X",889,1554
"GeForce GTX 550 Ti",99.99,1554
"Radeon Ryzen 5 PRO 7645 6-Core",NA,1552
"Radeon Ryzen 3 5425U",NA,1547
"Radeon HD 8470D + HD 7500 Dual",NA,1545
"Ryzen 3 PRO 4300U with Radeon Graphics",NA,1542
"Radeon Ryzen 3 PRO 5475U",NA,1541
"FirePro V8700",157.88,1538
"Ryzen 3 PRO 4450U with Radeon Graphics",NA,1538
"Radeon Vega 6 Ryzen 3 3350U",NA,1537
"Ryzen 3 5300U with Radeon Graphics",NA,1527
"Radeon Ryzen Embedded V2516",NA,1527
"GeForce 845M",NA,1524
"RTXA5000-6Q",NA,1522
"Radeon RX Vega 10 Ryzen 7 PRO 3700U w/",NA,1521
"GeForce 940MX",NA,1517
"Radeon Vega 9 Ryzen 5 Microsoft Surface Edition",NA,1516
"Radeon Vega 10 Mobile",NA,1516
"FirePro W4100",184,1514
"GeForce GTX 285",119.99,1513
"Radeon HD 4890",89.99,1507
"Radeon HD 7870M",NA,1507
"Radeon RX Vega 10 Ryzen 7 3700U",NA,1507
"Ryzen 5 2500U with Radeon Vega",NA,1503
"Radeon RX Vega 8",NA,1501
"Radeon Vega 8 Ryzen 3 PRO 3200GE w/",NA,1498
"Radeon HD 6670 + 7660D Dual",NA,1492
"Qualcomm Adreno X1-45 GPU",NA,1490
"Radeon Vega 8 Ryzen 5 PRO 3500U w/",NA,1487
"Intel UHD Graphics",NA,1486
"Radeon HD 7660D + HD 6670 Dual",NA,1484
"Radeon Ryzen Embedded R2514",NA,1482
"GeForce GT 740",236.99,1481
"Radeon R9 M365X",NA,1481
"Quadro 4000",699,1478
"Intel Iris Pro Graphics 6200",NA,1471
"Radeon R7 FX-9830P RADEON",NA,1464
"GeForce GTX 660M",78.99,1442
"Ryzen 5 PRO 4400GE with Radeon Graphics",NA,1441
"Radeon Eng Sample: 100-000000085-40_35/24_Y",NA,1440
"Radeon 540X",NA,1437
"Radeon HD 8470D + HD 6670 Dual",NA,1435
"GeForce MX110",NA,1435
"Radeon 630",NA,1434
"Intel Iris 650",NA,1432
"Radeon 550X",NA,1432
"Ryzen 3 PRO 5475U with Radeon Graphics",NA,1431
"Radeon Ryzen 3 PRO 4355GE",NA,1431
"Radeon Vega 8 Mobile",NA,1428
"Intel Iris 550",NA,1427
"Radeon HD 7560D + 7670 Dual",NA,1426
"Radeon EPYC 4244P 6-Core",NA,1424
"Radeon R9 255",344.16,1420
"Radeon R7 M370",NA,1417
"FirePro W5130M",NA,1409
"Radeon Pro WX 4170",NA,1409
"Radeon RX Vega11 Ryzen 7 Microsoft Surface Edition",NA,1398
"Radeon Vega 8 Ryzen 5 3500U",NA,1395
"GeForce GTX 275",431.72,1387
"Radeon 540",NA,1383
"Radeon HD 7560D + HD 7670 Dual",NA,1380
"Radeon HD 4870",142.8,1375
"Radeon HD 7850M",NA,1372
"Radeon Vega 6 Ryzen 3 PRO 3300U w/",NA,1370
"FirePro M40003",NA,1364
"Radeon HD 8670D + 6670 Dual",NA,1361
"Ryzen 3 4300U with Radeon Graphics",NA,1358
"Quadro K2100M",415.99,1356
"Intel Iris Plus 640",NA,1350
"Radeon HD 7560D + HD 7700 Dual",NA,1346
"Radeon Ryzen 7 3700U",NA,1345
"FireStream 9270",NA,1341
"Radeon HD 5770",189.99,1340
"Radeon Vega 3 Athlon Gold 3150G",NA,1334
"GeForce GT 750M",NA,1330
"GeForce GTS 450",134.24,1322
"Radeon HD 8670D + HD 7600 Dual",NA,1317
"FirePro M5950",NA,1314
"Radeon R7 PRO A8-8670E",NA,1309
"Radeon HD 4870 X2",NA,1309
"Radeon Vega 6",1799.99,1308
"Tesla M2070-Q",NA,1305
"Radeon HD 8790M",NA,1305
"Quadro 4000M",232.06,1302
"TENSOR 1.0 Driver Intel HD 630",NA,1299
"GeForce GTX 280",522.78,1299
"Radeon Vega 6 Ryzen 3 3300U",NA,1297
"Radeon R7 PRO A6-9500 R5, 8 COMPUTE CORES 2C+6G",NA,1293
"GeForce 930MX",NA,1288
"MxGPU",NA,1282
"Radeon R7 A370",NA,1281
"FirePro 3D V8750",1230.99,1271
"Ryzen3 5300U Ryzen 3 5300U",NA,1268
"GeForce 930A",NA,1267
"Radeon with 3 5300U Ryzen 3 5300U",NA,1265
"FirePro V5900",86,1264
"Intel Iris 540",NA,1261
"GeForce GTX 560M",NA,1260
"Radeon HD 8570D + HD 6670 Dual",NA,1260
"Radeon HD 7560D + HD 7600 Dual",NA,1258
"Radeon HD 6770",264.99,1250
"Intel UHD Graphics 630",NA,1243
"Radeon Vega 8 Ryzen 5 3450U",NA,1243
"GeForce GT 745A",NA,1240
"Quadro 2000 D",NA,1239
"Radeon HD 8570D + 6570 Dual",NA,1239
"Radeon HD 7660D + 6670 Dual",NA,1238
"Radeon HD 7560D + HD 6570 Dual",NA,1237
"Radeon R7 + R5 340 Dual",NA,1234
"Radeon R7 + R7 250 Dual",NA,1232
"FirePro 3D V5800",204,1231
"GeForce GTX 760A",NA,1226
"Radeon HD 8670D + HD 6670 Dual",NA,1221
"Quadro FX 5800",274,1221
"GeForce GTX 260",285.78,1218
"Radeon HD 8790M / R9 M290X",NA,1210
"Radeon HD 7730",232.7,1208
"GeForce GTX 460M",NA,1207
"FirePro 3D V8700",170.07,1206
"GeForce GTX 295",159.99,1206
"N16P-GX",NA,1204
"Radeon HD 7660D + 7540D Dual",NA,1204
"Radeon R9 M270X",NA,1204
"Intel HD P630",NA,1203
"GeForce GT 650M",NA,1203
"Radeon HD 7750M",NA,1191
"Radeon R7 +8G",NA,1190
"GeForce GPU",NA,1185
"Intel Iris Pro 5200",NA,1184
"NVS 810",624.99,1179
"GeForce GT 640",109.99,1176
"FirePro V5800",53,1175
"Radeon R7 Opteron X3421",NA,1168
"Radeon R7 M350",NA,1166
"Quadro K620M",NA,1165
"FireStream 9250",NA,1164
"Radeon HD 5750",128.99,1163
"Quadro M500M",NA,1163
"Barco MXRT 5400",203,1161
"Intel HD P530",NA,1160
"Intel Coffee Lake UHD",NA,1158
"FirePro M4170",NA,1155
"Firepro W4190M",NA,1150
"GeForce 840A",NA,1145
"Radeon R7 A8-7690K",NA,1140
"Radeon HD 8850M / R9 M265X",NA,1139
"GeForce 830A",NA,1138
"Radeon R9 M265X",NA,1132
"Radeon HD 4850 X2",NA,1132
"Radeon HD 7560D + 6670 Dual",NA,1130
"Radeon HD 8650G + 7700M Dual",NA,1126
"GeForce 940M",NA,1125
"Radeon R7 M465",NA,1125
"Radeon Ryzen 5 3450U",NA,1124
"Radeon HD 7660D + 7500 Dual",NA,1121
"Radeon R9 M275",699.99,1114
"Radeon R7 A10-7870K",NA,1111
"Intel HD 630",NA,1109
"GeForce 940A",NA,1106
"GeForce GT 545",55.59,1104
"RadeonT 610M",NA,1101
"Radeon HD 7660D + 6570 Dual",NA,1100
"Quadro 2100M",NA,1100
"Radeon 610M",NA,1099
"Radeon R5 PRO A6-9500 2C+6G",NA,1096
"Radeon 625",NA,1094
"Radeon R7 430",150.58,1092
"GeForce GTX 850M - MODDED",NA,1091
"GeForce 840M",NA,1091
"GeForce GT 745M",NA,1090
"Quadro K1100M",322.99,1090
"Mobility Radeon HD 5870",NA,1084
"GeForce 920MX",NA,1081
"Radeon R7 A12-9800 RADEON",NA,1081
"MIRRORV3",NA,1080
"Barco MXRT 5450",199.99,1079
"Intel UHD Graphics 710",NA,1077
"Radeon 535",NA,1077
"Radeon R7 + R7 200 Dual",NA,1077
"Radeon R7 M460",NA,1071
"Radeon HD 8450G + 8600/8700M Dual",NA,1070
"A16-16A",NA,1068
"Radeon HD 7660D + 7670 Dual",NA,1061
"Radeon HD 7520G + 7700M Dual",NA,1060
"Radeon R7 250",99.99,1060
"Firepro M4100",NA,1059
"OPAL XT/GL",NA,1053
"Radeon HD 7670A",NA,1050
"GeForce GTX 850A",NA,1049
"Radeon R7 + R7 240 Dual",NA,1045
"Intel UHD Graphics 620",NA,1044
"Radeon Vega 3 Athlon 300GE",NA,1044
"Radeon HD 6750",79.99,1043
"Radeon HD 8570D + 6670 Dual",NA,1039
"Radeon Vega 3 Mobile",NA,1034
"FirePro W4170M",NA,1033
"Radeon HD 8570D + HD 8570 Dual",NA,1032
"Radeon Ryzen Embedded R2314",NA,1032
"Radeon HD 8600/8700M",NA,1029
"Radeon R7 + R5 330 Dual",NA,1028
"Qualcomm Adreno 690 GPU",NA,1027
"Radeon R7 A12-9730P RADEON",NA,1026
"Radeon R9 A375",NA,1024
"Radeon 530",NA,1021
"Radeon HD 8670D + R7 240 Dual",NA,1020
"Intel UHD 770",NA,1016
"Radeon HD 6700M",NA,1016
"Radeon R5 A6-9500E 2C+4G",NA,1014
"Radeon RX Vega 6",NA,1014
"GeForce 930M",NA,1013
"Quadro K2000M",144.04,1012
"Radeon HD 7690M XT",NA,1009
"GeForce 830M",NA,1008
"Glenfly Arise-GT-10C0",NA,1007
"Radeon HD 8750M",NA,1004
"Radeon HD 7660G + HD 7500/7600 7500/7600 Dual",NA,1002
"Radeon R7 340",NA,1000
"Radeon HD 8570D + R7 200 Dual",NA,999
"Radeon HD 7660G + HD 7500M/7600M Dual",NA,999
"Radeon HD 7640G + HD 8750M Dual",NA,996
"Quadro 3000M",69.99,995
"Intel HD 530",NA,995
"Radeon R7 A265",NA,993
"FirePro V4900",149.99,990
"Radeon Vega 3 Athlon 3000G",NA,989
"Radeon R7 M260X",NA,986
"Radeon HD 7560D + 7570 Dual",NA,985
"Radeon R5 PRO A6-8570 R5, 8 COMPUTE CORES 2C+6G",NA,984
"Radeon HD 8690M",NA,984
"Radeon HD 7560D + 7560D Dual",NA,982
"Qualcomm Adreno 685 GPU",NA,979
"Quadro FX 4800",1658.97,978
"Radeon R5 A10-9630P 4C+6G",NA,977
"Quadro 2000D",569,976
"Radeon R7 A10-7890K",NA,975
"Radeon HD 8670D + 8570 Dual",NA,974
"Radeon HD 8850M",NA,973
"Radeon R7 PRO A10-9700E",529,970
"Radeon R6 A10-9600P 4C+6G",NA,970
"Radeon R9 M375",NA,969
"Radeon HD 7660G N HD 7660G + HD 7700M N HD 7700M D",NA,966
"Radeon HD 6770M",NA,964
"Radeon HD 8570D + R7 240 Dual",NA,963
"Radeon R7 M270DX",NA,961
"Radeon R7 A10-7850K",NA,961
"TENSOR 1.0 Driver Intel HD 530",NA,958
"Radeon R6 Opteron X3418",NA,955
"Radeon R7 PRO A12-9800E",NA,954
"Radeon HD 8670D + R7 200 Dual",NA,949
"Radeon HD 8570 + HD 7660D Dual",NA,949
"FirePro M4150",NA,948
"Quadro CX",149.95,947
"Quadro 2000",213.23,946
"Radeon HD 6670/7670",NA,945
"Radeon HD 7640G + 7690M Dual",NA,945
"Radeon R7 PRO A10-8850B",NA,945
"zxcvIntel HD 620",NA,943
"Radeon R7 M445",744,943
"Radeon HD 8570",98.68,942
"Radeon HD 7660D + R7 240 Dual",NA,941
"Radeon HD 6750M",NA,937
"Radeon HD 7560D + HD 8570 Dual",NA,935
"Radeon R5 340",NA,935
"Radeon Vega 3 Athlon PRO 300GE w/",NA,935
"GeForce GT 645M",NA,934
"Radeon HD 4850",139.99,933
"Radeon HD 7660G + 7730M Dual",NA,931
"Radeon R7 240 + HD 8670D Dual",NA,930
"Radeon R5 A6-9500 RADEON R5, 8 COMPUTE CORES 2C+6G",NA,928
"Radeon R7 A10-7860K",NA,927
"Intel HD Graphics 620",NA,926
"Radeon R7 A10-9700 RADEON",NA,925
"Intel Iris Pro 6100",NA,925
"GeForce GT 640M",NA,925
"Radeon Vega 3 Athlon Gold PRO 3150GE",NA,920
"Radeon R7 240 + HD 8570D Dual",NA,917
"Radeon R7 PRO A10-8770",NA,917
"Radeon R5 430",59,914
"Radeon R7 A12-9800E RADEON",139.19,913
"Radeon R7 A8-8650",NA,912
"GRID K220Q",NA,912
"GRID M6-0B",NA,911
"Radeon 6750M",NA,911
"Radeon HD 4770",119.59,909
"Radeon HD 7690M",NA,909
"Radeon RX Vega 6 Ryzen 3 3200U",NA,906
"Radeon R7 PRO A12-8870E",NA,905
"GRID P40-6Q",NA,905
"Radeon R7 PRO A12-8870",NA,904
"Radeon HD 8550G + 7600M Dual",NA,901
"Barco MXRT 7400",99,900
"Barco MXRT 2600",199,900
"Radeon R7 A10-9700E RADEON",NA,899
"Radeon R7 240",84.56,899
"Radeon R7 + R5 Dual",NA,897
"Radeon R7 M440",NA,895
"Radeon 620",NA,894
"Intel Iris 6100",NA,894
"Radeon R7 PRO A8-9600",NA,893
"7900 MOD - Radeon HD 6550D",NA,892
"Radeon Vega 3",2677.99,888
"Radeon R7 + R5 435 Dual A10-9700 RADEON",NA,885
"Radeon HD 8650G + 7670M Dual",NA,883
